clid,fname,lastname,age,memberyear
1.0,Lacey,Thorneley,38.0,15.0
2.0,Jana,Di Francesco,79.0,1.0
3.0,Lanita,McIlvoray,52.0,30.0
4.0,Rosalynd,Budget,31.0,8.0
5.0,Jean,Lenahan,46.0,2.0
6.0,Katleen,Huxter,80.0,14.0
7.0,Robbie,Torbard,35.0,17.0
8.0,Amitie,Fayerbrother,70.0,2.0
9.0,Brewer,Scipsey,45.0,8.0
10.0,Vivienne,Domange,40.0,16.0
11.0,Sinclair,Scyner,78.0,1.0
12.0,Nalani,Radloff,76.0,1.0
13.0,Bill,Heino,24.0,2.0
14.0,Calla,Feirn,81.0,9.0
15.0,Emmi,Wrightham,67.0,22.0
16.0,Zebedee,Montel,62.0,25.0
17.0,Camilla,Nussen,26.0,5.0
18.0,Amitie,Brearty,52.0,26.0
19.0,Jillane,Bassingham,68.0,26.0
20.0,Natalee,Magner,85.0,1.0
21.0,Mischa,Meriot,76.0,10.0
22.0,Leonanie,Luckcuck,80.0,1.0
23.0,Amalie,Claremont,72.0,14.0
24.0,Mellie,Garrish,62.0,5.0
25.0,Otis,Brayfield,40.0,5.0
26.0,Margy,Hryniewicki,70.0,8.0
27.0,Tito,Knapman,54.0,5.0
28.0,Ignace,Hawgood,84.0,25.0
29.0,Nelie,Say,36.0,17.0
30.0,Edy,Zotto,20.0,1.0
31.0,Ellen,Hansman,68.0,16.0
32.0,Cloris,Haizelden,61.0,26.0
33.0,Petr,Synnot,21.0,0.0
34.0,Clementina,Newrick,83.0,25.0
35.0,Winona,Bakeup,83.0,4.0
36.0,Emeline,Habben,35.0,0.0
37.0,Rochell,Ugoni,77.0,10.0
38.0,Coleen,Weavill,44.0,15.0
39.0,Corene,Chasmor,74.0,30.0
40.0,Giorgi,Chiplin,73.0,4.0
41.0,Myrle,Penhale,25.0,3.0
42.0,Reta,Godber,37.0,7.0
43.0,Othelia,Mallall,72.0,11.0
44.0,Waiter,Kelway,25.0,0.0
45.0,Sashenka,Surplice,41.0,17.0
46.0,Merrili,Laux,77.0,19.0
47.0,Madella,Tivers,43.0,10.0
48.0,Rosalynd,D'Arrigo,75.0,10.0
49.0,Denys,Loisi,77.0,50.0
50.0,Silvana,Mincini,40.0,19.0
51.0,Janifer,Gertray,54.0,21.0
52.0,Jeanine,Haste,82.0,27.0
53.0,Iseabal,Battell,51.0,26.0
54.0,Eugenia,Shillam,49.0,25.0
55.0,Katti,Flynn,36.0,7.0
56.0,Cosette,Rissen,70.0,2.0
57.0,Wood,Shrimplin,38.0,3.0
58.0,Welsh,Gaggen,58.0,20.0
59.0,Devlen,Kippin,22.0,2.0
60.0,Ericka,Forsdyke,60.0,8.0
61.0,Sonnnie,Lethcoe,57.0,22.0
62.0,Adelice,Sawer,57.0,16.0
63.0,Gillie,Nears,29.0,2.0
64.0,Trace,Revance,56.0,19.0
65.0,Jemmie,Lounds,74.0,27.0
66.0,Arda,Carlo,30.0,5.0
67.0,Robers,Harbottle,67.0,1.0
68.0,Cristionna,Mackstead,64.0,6.0
69.0,Denice,Drillot,79.0,20.0
70.0,Dore,Luckwell,82.0,12.0
71.0,Christie,Brunini,77.0,11.0
72.0,Zara,Julian,75.0,29.0
73.0,Ophelia,Gruszczak,63.0,23.0
74.0,Rosanna,Labell,61.0,16.0
75.0,Ola,Milroy,19.0,0.0
76.0,Brianne,McClinton,36.0,8.0
77.0,Bowie,Flippini,28.0,4.0
78.0,Dillon,Innman,34.0,10.0
79.0,Bing,Stoves,62.0,22.0
80.0,Nikolas,Howman,48.0,7.0
81.0,Henrie,Fearnsides,69.0,6.0
82.0,Janette,Alekseev,25.0,5.0
83.0,Rodger,Lidgett,42.0,6.0
84.0,Federica,Wraith,23.0,5.0
85.0,Ursola,Rivelin,66.0,8.0
86.0,Sherlock,Bucke,75.0,26.0
87.0,Delano,Mumby,68.0,4.0
88.0,Liesa,Suarez,30.0,1.0
89.0,Orel,Teesdale,36.0,15.0
90.0,Geoff,Fanti,55.0,14.0
91.0,Clemente,Vaillant,66.0,12.0
92.0,Toni,Swinyard,30.0,9.0
93.0,Annelise,Biggadyke,59.0,20.0
94.0,Ag,Lamping,82.0,24.0
95.0,Abba,Guidera,63.0,8.0
96.0,Winny,Madden,35.0,5.0
97.0,Corbet,Hawley,49.0,6.0
98.0,Burton,Caslane,24.0,1.0
99.0,Rodrick,Citrine,68.0,22.0
100.0,Norina,Van der Beken,25.0,5.0
101.0,Vere,Furbank,56.0,11.0
102.0,Grete,Saberton,59.0,2.0
103.0,Gustav,Blaik,79.0,15.0
104.0,Hewe,Denman,75.0,7.0
105.0,Garnette,Eickhoff,42.0,20.0
106.0,Guthrey,Tripett,73.0,24.0
107.0,Billie,Escritt,36.0,18.0
108.0,Lazaro,Hacard,59.0,17.0
109.0,Robinia,Arnholdt,56.0,3.0
110.0,Wynn,Barnsdale,57.0,28.0
111.0,Artair,Olexa,27.0,8.0
112.0,Jacklin,Spataro,45.0,10.0
113.0,Shirline,Simonazzi,35.0,12.0
114.0,Bernette,Biernat,25.0,6.0
115.0,Emmalynn,Taffarello,51.0,13.0
116.0,Lester,Ritter,78.0,3.0
117.0,Mar,Echalier,54.0,19.0
118.0,Jacklin,Aizikovitch,44.0,8.0
119.0,Robina,Glawsop,84.0,9.0
120.0,Ethelin,Snooks,22.0,0.0
121.0,Emelia,Allitt,53.0,11.0
122.0,Kathi,Eveque,39.0,12.0
123.0,Charline,Bazely,21.0,0.0
124.0,Hersh,Shelbourne,28.0,6.0
125.0,Cary,Masterson,37.0,16.0
126.0,Bebe,Keat,81.0,6.0
127.0,Kerk,Lambard,24.0,3.0
128.0,Vladamir,Yakutin,58.0,21.0
129.0,Barty,Flade,71.0,18.0
130.0,Ethelred,McMoyer,84.0,29.0
131.0,Ronna,Pittem,71.0,3.0
132.0,Dallon,Murricanes,31.0,10.0
133.0,Ginelle,Ashingden,24.0,5.0
134.0,Hedvig,Harry,36.0,2.0
135.0,Zilvia,Penley,18.0,0.0
136.0,Rochette,Mcasparan,75.0,16.0
137.0,Wood,Matzl,60.0,11.0
138.0,Darlleen,Dilks,61.0,10.0
139.0,Delores,Burghall,56.0,11.0
140.0,Avictor,Duffett,67.0,15.0
141.0,Jobey,Defew,45.0,21.0
142.0,Heinrik,Hinz,70.0,7.0
143.0,Jillane,Hinnerk,78.0,19.0
144.0,Rafael,Lent,69.0,22.0
145.0,Catina,De Andreis,57.0,12.0
146.0,Brandtr,Nowland,85.0,1.0
147.0,Mendie,Chessil,79.0,2.0
148.0,Sheela,Cohan,80.0,25.0
149.0,Liana,Masdin,67.0,6.0
150.0,Smitty,Foxten,33.0,7.0
151.0,Wilfred,Balassi,46.0,24.0
152.0,Ruddy,Lasham,38.0,10.0
153.0,Alvera,Bielefeld,81.0,18.0
154.0,Yettie,Turland,26.0,4.0
155.0,Leroy,Grinvalds,75.0,11.0
156.0,Christophorus,Reide,21.0,2.0
157.0,Bentley,Bearsmore,78.0,29.0
158.0,Arther,Millward,68.0,11.0
159.0,Torey,Giorgiutti,40.0,9.0
160.0,Morganica,Harm,26.0,1.0
161.0,Doy,Danjoie,43.0,15.0
162.0,Quinta,Tomblett,40.0,8.0
163.0,Pearl,Sullens,44.0,11.0
164.0,Che,Casarini,26.0,2.0
165.0,Sylvia,Fordyce,47.0,3.0
166.0,Giulia,Tattam,76.0,5.0
167.0,Barris,O'Dowd,73.0,7.0
168.0,Hadlee,Tarbatt,57.0,7.0
169.0,Barbabas,Prout,74.0,17.0
170.0,Dorette,Grigolli,49.0,24.0
171.0,Damita,Hincks,45.0,17.0
172.0,Jarvis,Woodworth,70.0,4.0
173.0,Corabelle,Witter,82.0,29.0
174.0,Brittni,Scole,23.0,2.0
175.0,Hetti,Calley,60.0,27.0
176.0,Herminia,Woof,82.0,11.0
177.0,Culley,Cattrell,21.0,1.0
178.0,Web,Dietzler,83.0,11.0
179.0,Carine,McCaughren,68.0,3.0
180.0,Pip,McDermott,18.0,0.0
181.0,Billy,Lehrer,74.0,29.0
182.0,Winnie,MacKaig,19.0,1.0
183.0,Hardy,Soar,36.0,11.0
184.0,Barbette,Honacker,42.0,13.0
185.0,Bobinette,Diben,64.0,23.0
186.0,Shelbi,Gillespie,57.0,28.0
187.0,Kym,Roulston,51.0,11.0
188.0,Schuyler,Frederick,66.0,10.0
189.0,Adolf,Sharland,31.0,5.0
190.0,Gabriella,Simoneton,20.0,2.0
191.0,Cordell,Powlett,45.0,5.0
192.0,Brunhilde,McCaskill,31.0,10.0
193.0,Saul,Tomaszczyk,76.0,19.0
194.0,Perry,Bursell,81.0,28.0
195.0,Milli,Zack,50.0,20.0
196.0,Remington,Felstead,53.0,2.0
197.0,Jenni,Elles,62.0,20.0
198.0,Gran,Bourchier,26.0,4.0
199.0,Ax,Ramelet,40.0,6.0
200.0,Gunther,Gorghetto,35.0,17.0
201.0,Enrico,Eagar,44.0,25.0
202.0,Enrika,Bisterfeld,65.0,4.0
203.0,Gaby,Reddan,51.0,10.0
204.0,Kain,Reidshaw,35.0,14.0
205.0,Cassie,Gaylord,77.0,19.0
206.0,Tomi,Woofenden,29.0,11.0
207.0,Launce,Boissier,19.0,0.0
208.0,Trudi,McAne,39.0,18.0
209.0,Lin,Boswood,52.0,4.0
210.0,Bartie,Undrell,22.0,1.0
211.0,Matthias,Souttar,64.0,11.0
212.0,Miles,Fuggles,66.0,4.0
213.0,Egan,Gearing,83.0,2.0
214.0,Alfred,Rearden,44.0,1.0
215.0,Rees,Breeton,25.0,1.0
216.0,Laetitia,Folonin,77.0,24.0
217.0,Ryley,Kyncl,42.0,22.0
218.0,Herrick,Radcliffe,41.0,3.0
219.0,Jocelyn,Lorenc,84.0,16.0
220.0,Philipa,Allewell,57.0,21.0
221.0,Chloe,MacKnockiter,22.0,2.0
222.0,Ailey,Lage,67.0,12.0
223.0,Melvin,Gallandre,45.0,5.0
224.0,Guillema,Sanja,61.0,23.0
225.0,Jacobo,Linnell,38.0,18.0
226.0,Koenraad,Mc Coughan,60.0,24.0
227.0,Kermy,Clemonts,26.0,4.0
228.0,Arnold,Vasilyonok,68.0,25.0
229.0,Hermann,Rampley,47.0,19.0
230.0,Sheri,Flint,47.0,14.0
231.0,Adelheid,Frandsen,23.0,2.0
232.0,Verene,Wordington,53.0,27.0
233.0,Layney,Reide,78.0,4.0
234.0,Thedric,Darrigrand,58.0,7.0
235.0,Trude,Epperson,74.0,22.0
