clid, fname, lastname, age, memberyear
1,Lacey,Thorneley,38,15
2,Jana,Di Francesco,79,1
3,Lanita,McIlvoray,52,30
4,Rosalynd,Budget,31,8
5,Jean,Lenahan,46,2
6,Katleen,Huxter,80,14
7,Robbie,Torbard,35,17
8,Amitie,Fayerbrother,70,2
9,Brewer,Scipsey,45,8
10,Vivienne,Domange,40,16
11,Sinclair,Scyner,78,1
12,Nalani,Radloff,76,1
13,Bill,Heino,24,2
14,Calla,Feirn,81,9
15,Emmi,Wrightham,67,22
16,Zebedee,Montel,62,25
17,Camilla,Nussen,26,5
18,Amitie,Brearty,52,26
19,Jillane,Bassingham,68,26
20,Natalee,Magner,85,1
21,Mischa,Meriot,76,10
22,Leonanie,Luckcuck,80,1
23,Amalie,Claremont,72,14
24,Mellie,Garrish,62,5
25,Otis,Brayfield,40,5
26,Margy,Hryniewicki,70,8
27,Tito,Knapman,54,5
28,Ignace,Hawgood,84,25
29,Nelie,Say,36,17
30,Edy,Zotto,20,1
31,Ellen,Hansman,68,16
32,Cloris,Haizelden,61,26
33,Petr,Synnot,21,0
34,Clementina,Newrick,83,25
35,Winona,Bakeup,83,4
36,Emeline,Habben,35,0
37,Rochell,Ugoni,77,10
38,Coleen,Weavill,44,15
39,Corene,Chasmor,74,30
40,Giorgi,Chiplin,73,4
41,Myrle,Penhale,25,3
42,Reta,Godber,37,7
43,Othelia,Mallall,72,11
44,Waiter,Kelway,25,0
45,Sashenka,Surplice,41,17
46,Merrili,Laux,77,19
47,Madella,Tivers,43,10
48,Rosalynd,D'Arrigo,75,10
49,Denys,Loisi,77,50
50,Silvana,Mincini,40,19
51,Janifer,Gertray,54,21
52,Jeanine,Haste,82,27
53,Iseabal,Battell,51,26
54,Eugenia,Shillam,49,25
55,Katti,Flynn,36,7
56,Cosette,Rissen,70,2
57,Wood,Shrimplin,38,3
58,Welsh,Gaggen,58,20
59,Devlen,Kippin,22,2
60,Ericka,Forsdyke,60,8
61,Sonnnie,Lethcoe,57,22
62,Adelice,Sawer,57,16
63,Gillie,Nears,29,2
64,Trace,Revance,56,19
65,Jemmie,Lounds,74,27
66,Arda,Carlo,30,5
67,Robers,Harbottle,67,1
68,Cristionna,Mackstead,64,6
69,Denice,Drillot,79,20
70,Dore,Luckwell,82,12
71,Christie,Brunini,77,11
72,Zara,Julian,75,29
73,Ophelia,Gruszczak,63,23
74,Rosanna,Labell,61,16
75,Ola,Milroy,19,0
76,Brianne,McClinton,36,8
77,Bowie,Flippini,28,4
78,Dillon,Innman,34,10
79,Bing,Stoves,62,22
80,Nikolas,Howman,48,7
81,Henrie,Fearnsides,69,6
82,Janette,Alekseev,25,5
83,Rodger,Lidgett,42,6
84,Federica,Wraith,23,5
85,Ursola,Rivelin,66,8
86,Sherlock,Bucke,75,26
87,Delano,Mumby,68,4
88,Liesa,Suarez,30,1
89,Orel,Teesdale,36,15
90,Geoff,Fanti,55,14
91,Clemente,Vaillant,66,12
92,Toni,Swinyard,30,9
93,Annelise,Biggadyke,59,20
94,Ag,Lamping,82,24
95,Abba,Guidera,63,8
96,Winny,Madden,35,5
97,Corbet,Hawley,49,6
98,Burton,Caslane,24,1
99,Rodrick,Citrine,68,22
100,Norina,Van der Beken,25,5
101,Vere,Furbank,56,11
102,Grete,Saberton,59,2
103,Gustav,Blaik,79,15
104,Hewe,Denman,75,7
105,Garnette,Eickhoff,42,20
106,Guthrey,Tripett,73,24
107,Billie,Escritt,36,18
108,Lazaro,Hacard,59,17
109,Robinia,Arnholdt,56,3
110,Wynn,Barnsdale,57,28
111,Artair,Olexa,27,8
112,Jacklin,Spataro,45,10
113,Shirline,Simonazzi,35,12
114,Bernette,Biernat,25,6
115,Emmalynn,Taffarello,51,13
116,Lester,Ritter,78,3
117,Mar,Echalier,54,19
118,Jacklin,Aizikovitch,44,8
119,Robina,Glawsop,84,9
120,Ethelin,Snooks,22,0
121,Emelia,Allitt,53,11
122,Kathi,Eveque,39,12
123,Charline,Bazely,21,0
124,Hersh,Shelbourne,28,6
125,Cary,Masterson,37,16
126,Bebe,Keat,81,6
127,Kerk,Lambard,24,3
128,Vladamir,Yakutin,58,21
129,Barty,Flade,71,18
130,Ethelred,McMoyer,84,29
131,Ronna,Pittem,71,3
132,Dallon,Murricanes,31,10
133,Ginelle,Ashingden,24,5
134,Hedvig,Harry,36,2
135,Zilvia,Penley,18,0
136,Rochette,Mcasparan,75,16
137,Wood,Matzl,60,11
138,Darlleen,Dilks,61,10
139,Delores,Burghall,56,11
140,Avictor,Duffett,67,15
141,Jobey,Defew,45,21
142,Heinrik,Hinz,70,7
143,Jillane,Hinnerk,78,19
144,Rafael,Lent,69,22
145,Catina,De Andreis,57,12
146,Brandtr,Nowland,85,1
147,Mendie,Chessil,79,2
148,Sheela,Cohan,80,25
149,Liana,Masdin,67,6
150,Smitty,Foxten,33,7
151,Wilfred,Balassi,46,24
152,Ruddy,Lasham,38,10
153,Alvera,Bielefeld,81,18
154,Yettie,Turland,26,4
155,Leroy,Grinvalds,75,11
156,Christophorus,Reide,21,2
157,Bentley,Bearsmore,78,29
158,Arther,Millward,68,11
159,Torey,Giorgiutti,40,9
160,Morganica,Harm,26,1
161,Doy,Danjoie,43,15
162,Quinta,Tomblett,40,8
163,Pearl,Sullens,44,11
164,Che,Casarini,26,2
165,Sylvia,Fordyce,47,3
166,Giulia,Tattam,76,5
167,Barris,O'Dowd,73,7
168,Hadlee,Tarbatt,57,7
169,Barbabas,Prout,74,17
170,Dorette,Grigolli,49,24
171,Damita,Hincks,45,17
172,Jarvis,Woodworth,70,4
173,Corabelle,Witter,82,29
174,Brittni,Scole,23,2
175,Hetti,Calley,60,27
176,Herminia,Woof,82,11
177,Culley,Cattrell,21,1
178,Web,Dietzler,83,11
179,Carine,McCaughren,68,3
180,Pip,McDermott,18,0
181,Billy,Lehrer,74,29
182,Winnie,MacKaig,19,1
183,Hardy,Soar,36,11
184,Barbette,Honacker,42,13
185,Bobinette,Diben,64,23
186,Shelbi,Gillespie,57,28
187,Kym,Roulston,51,11
188,Schuyler,Frederick,66,10
189,Adolf,Sharland,31,5
190,Gabriella,Simoneton,20,2
191,Cordell,Powlett,45,5
192,Brunhilde,McCaskill,31,10
193,Saul,Tomaszczyk,76,19
194,Perry,Bursell,81,28
195,Milli,Zack,50,20
196,Remington,Felstead,53,2
197,Jenni,Elles,62,20
198,Gran,Bourchier,26,4
199,Ax,Ramelet,40,6
200,Gunther,Gorghetto,35,17
201,Enrico,Eagar,44,25
202,Enrika,Bisterfeld,65,4
203,Gaby,Reddan,51,10
204,Kain,Reidshaw,35,14
205,Cassie,Gaylord,77,19
206,Tomi,Woofenden,29,11
207,Launce,Boissier,19,0
208,Trudi,McAne,39,18
209,Lin,Boswood,52,4
210,Bartie,Undrell,22,1
211,Matthias,Souttar,64,11
212,Miles,Fuggles,66,4
213,Egan,Gearing,83,2
214,Alfred,Rearden,44,1
215,Rees,Breeton,25,1
216,Laetitia,Folonin,77,24
217,Ryley,Kyncl,42,22
218,Herrick,Radcliffe,41,3
219,Jocelyn,Lorenc,84,16
220,Philipa,Allewell,57,21
221,Chloe,MacKnockiter,22,2
222,Ailey,Lage,67,12
223,Melvin,Gallandre,45,5
224,Guillema,Sanja,61,23
225,Jacobo,Linnell,38,18
226,Koenraad,Mc Coughan,60,24
227,Kermy,Clemonts,26,4
228,Arnold,Vasilyonok,68,25
229,Hermann,Rampley,47,19
230,Sheri,Flint,47,14
231,Adelheid,Frandsen,23,2
232,Verene,Wordington,53,27
233,Layney,Reide,78,4
234,Thedric,Darrigrand,58,7
235,Trude,Epperson,74,22
236,Shaughn,Gercke,21,1
237,Erik,Scyone,23,1
238,Graham,Wattingham,64,20
239,Nerty,Naile,82,6
240,Pierre,Leadbeater,57,5
241,Roze,Hospital,43,12
242,Weber,Buttler,21,3
243,Adair,Smickle,72,17
244,Waverley,Manford,32,11
245,Cecily,Coope,64,11
246,Izabel,Pail,42,10
247,Rici,Bindley,53,26
248,Leontine,Killbey,65,14
249,Irv,Stockford,71,10
250,Orsola,Jeaffreson,55,17
251,Janessa,Semkins,81,2
252,Starlene,Roycroft,23,2
253,Jeanna,Macek,39,13
254,Erhart,Berndsen,82,24
255,Frank,Blasing,51,27
256,Alphard,Selliman,52,18
257,Shelby,Gosnay,40,22
258,Maurise,Girardoni,19,1
259,Lydon,Tredgold,24,6
260,Belva,Reboulet,81,13
261,Luther,Gutherson,78,15
262,Gaston,Beiderbeck,52,15
263,Pooh,Aplin,61,21
264,Minerva,Fillery,67,28
265,Phyllis,Cejka,33,14
266,Frederico,Solomonides,38,6
267,Web,Lawie,49,10
268,Shannon,Bromige,67,27
269,Bess,Dudmarsh,60,29
270,Cherice,Davenell,47,15
271,Cassey,Strover,38,20
272,Fredek,Clingan,32,3
273,Ruben,Dufore,36,14
274,Mirna,Orhtmann,66,22
275,Eustace,Binestead,53,6
276,Hilary,Gooderidge,48,8
277,Flora,Rudyard,83,17
278,Donni,Archbutt,55,27
279,Mel,Gathercoal,21,1
280,Barbie,Cheyenne,21,2
281,Derwin,Denholm,66,9
282,Loralie,Craister,44,20
283,Orton,Breadon,85,23
284,Lelia,Steagall,46,4
285,Nichols,Schwaiger,19,1
286,Lyndsie,Beaver,37,18
287,Moll,Wigg,31,0
288,Cheslie,Woltering,55,23
289,Carlotta,Shouler,76,4
290,Melvin,MacKill,76,21
291,Astrix,Helix,49,16
292,Vilma,Streetley,71,10
293,Vivia,Gillyatt,45,12
294,Herbie,Kabos,68,3
295,Richardo,Brooking,34,3
296,Sunny,Iannuzzelli,73,22
297,Nikaniki,Duddin,27,8
298,Ernst,Dounbare,18,0
299,Lutero,Collinge,47,25
300,Cassey,Goricke,56,13
301,Domenic,Hanning,26,5
302,Kass,Arent,26,7
303,Tabbie,Camocke,62,23
304,Darda,Stanion,57,2
305,Cesya,Jaspar,52,28
306,Iggy,Hackelton,40,19
307,Lennie,Oldcroft,58,5
