lid,employeeid,user,pass
1,1,cbonhome0,tS6M@Qnt
2,2,nauten1,mQ056w_b
3,3,fmays2,mP6+bo
4,4,kbinny3,hC0>~7d!$U
5,5,pwadeling4,zN3M+YDc
6,6,hbilovsky5,lA3R0W4*oR
7,7,mgay6,zJ9)5
8,8,tsnarie7,cP0c)Rep!z
9,9,sandor8,yK5Z4p>
10,10,estacey9,bP7Y~0
11,11,pboura,lX0gs%b!
12,12,lbeddoeb,kL1q6.&
13,13,astocktonc,uT11P
14,14,gofallond,"qS4T,%Y"
15,15,jfennerse,wS75xK\?W
16,16,blenahanf,dI7=}'M
17,17,rhumang,tE2Tv&+Mr
18,18,ltilburnh,yM1j}
19,19,cmccormacki,kR3T5<|)f1
20,20,bglavinj,oL4Lf>
21,21,awindebankk,hT2De.pH
22,22,ncranneyl,oR6jR
23,23,jleversuchm,"uS7""l7)PI4"
24,24,lhoneywoodn,"yF2.bq2qa,"
25,25,vperrygoo,wK1QoN8}
26,26,amatignonp,cO8IZb
27,27,amerveilleq,pA0IO>BP>
28,28,dcroninr,iW11wo>&k
29,29,febbitts,pD5@.
30,30,wcarlint,pM9IXE1p
31,31,srenekeu,kT581NF>
32,32,aportwainev,hL4mS&<14
33,33,rquarlesw,kJ9}M
34,34,sarbuckelx,rD7D)K
35,35,emawbyy,iP4~\Lx<S
36,36,phottonz,fD3g3tkM
37,37,rfranc10,wH5WK
38,38,dwrout11,iX3Iu(
39,39,vhasely12,oX8IuBONf
40,40,mwestphalen13,nK1{P`
41,41,mtudgay14,eR1PIjEu
42,42,mernshaw15,fD7lfhoEMj
43,43,adilks16,lU0oYu4
44,44,cthurner17,aO9Fw}{0!`
45,45,dyurygyn18,qP8b(?
46,46,jtilly19,lY9$nj
47,47,rcordelle1a,yE7H3c}i5|
48,48,thoulridge1b,yQ9<0Bm88
49,49,gjoyner1c,kB266_
50,50,aarnson1d,zI6aXdst8y
51,51,ehorribine1e,mS3xA/P
52,52,idripps1f,dD84.JSXaa
53,53,cvanyakin1g,uM4f3l0Bb
54,54,dkellogg1h,nH2oB
55,55,ikenshole1i,qT7uIPz
56,56,tdevenish1j,yM4i/
57,57,lmatoshin1k,qW1Gws
58,58,akeningley1l,hT65Z3TwB
59,59,myerson1m,aP6'HqmK
60,60,jbeverstock1n,dA0NaTT
61,61,ckhrishtafovich1o,vG7)*{MW|f
62,62,blawman1p,sC7?ge
63,63,ckennermann1q,zS2Ct9
64,64,gdittson1r,mO7ME!A9R
65,65,tcarwithan1s,vR6c*CW
66,66,paylin1t,iG5l/
67,67,miacofo1u,cD1ab!
68,68,wdalla1v,fI8grtnJI
69,69,hdomonkos1w,bI1s(
70,70,nbabington1x,vR9vpgc
71,71,ktrapp1y,iS67L
72,72,cbridewell1z,"lB1X+ZWo,"
73,73,wgage20,yS2pER<
74,74,ckirk21,oJ1mpN28
75,75,jmcgreay22,mH0b+b7
76,76,ovamplus23,kM1YrRixq6
77,77,btrevaskis24,vB8urk
78,78,dlorraine25,rR0XB7
79,79,celsmere26,aW6QL
80,80,pcorwin27,pN0{)#f
81,81,pevason28,kN80p/03j
82,82,ebruford29,zJ6IDV>?
83,83,tdory2a,iQ6rDr8d
84,84,ncrosfield2b,qI2f@TS(\w
85,85,trapin2c,eF59e2k{
86,86,kdoge2d,lG30mN
87,87,jreinbeck2e,kD0VPP.b5$
88,88,vstairmand2f,uH7~pKm{N*
89,89,skilkenny2g,iV1OX
90,90,hbraddock2h,tP93rg
91,91,ghurford2i,wM9MA3&E
